[2654, 20511]
[45, 25006]
[3345, 12365]
[16389, 3096]
[12307, 12307]
[15880, 7383]
[21910, 18971]
[17655, 12365]
[13801, 11696]
[12545, 6610]
[5083, 5083]
[1000, 10762]
[6158, 12874]
[13992, 13992]
[5052, 24293]
[19551, 19551]
[18952, 231]
[12545, 18208]
[5807, 10096]
[11275, 45]
[1608, 21508]
[5409, 5409]
[24924, 3096]
[10791, 14485]
[15971, 4765]
[11785, 23967]
[6008, 6008]
[16389, 22082]
[12927, 2710]
[20511, 22691]
[23038, 12545]
[25931, 5346]
[6218, 15793]
[10872, 10872]
[10476, 24097]
[14599, 14485]
[16368, 16013]
[6229, 6229]
[2611, 2611]
[7985, 17559]
[14003, 15244]
[1588, 7712]
[14377, 15300]
[17655, 17612]
[14485, 7689]
[1074, 5901]
[17587, 17587]
[22598, 24696]
[14485, 16389]
[17932, 18051]
[18952, 7013]
[7878, 11231]
[1310, 23186]
[12365, 14485]
[15814, 18487]
[15552, 6700]
[13276, 11861]
[16389, 7689]
[4416, 24924]
[6408, 11801]
[12491, 12074]
[1074, 5107]
[17655, 18971]
[19640, 25948]
[21018, 21018]
[13801, 1958]
[23772, 23772]
[10564, 10564]
[12334, 17932]
[2181, 2688, 2688]
[1291, 865, 251]
[2483, 1420, 613]
[1380, 16, 2429]
[2144, 2296, 2082]
[2782, 2089, 1097]
[738, 738, 654]
[1403, 715, 1915]
[2397, 2054, 2054]
[439, 1023, 1066]
[1937, 1937, 1937]
[2921, 126, 2921]
[2190, 2190, 2855]
[2978, 953, 2978]
[612, 612, 2869]
[1132, 1132, 1432]
[1168, 633, 1195]
[2164, 2040, 2164]
[974, 1385, 974]
[2802, 2802, 2802]
[2688, 2601, 2799]
[2190, 1072, 2855]
[187, 1364, 187]
[2555, 2555, 122]
[1204, 806, 806]
[727, 900, 727]
[1744, 1167, 1167]
[476, 2059, 144]
[1920, 1961, 465]
[1297, 1297, 1297]
[936, 1692, 936]
[149, 149, 149]
[1729, 187, 1729]
[2149, 2232, 1177]
[2404, 2172, 2414]
[1097, 1890, 1278]
[2799, 941, 1710]
[2978, 929, 2978]
[1144, 1144, 1144]
[502, 502, 502]
[739, 1315, 739]
[1608, 43, 1608]
[2927, 1545, 1090]
[1387, 1387, 1387]
[2746, 2404, 2404]
[2135, 905, 2135]
[427, 218, 693]
[32, 2688, 2601]
[218, 218, 2738]
[2337, 1623, 1259]
[2466, 598, 475]
[144, 2059, 2059]
[997, 997, 997]
[2937, 513, 478]
[429, 429, 429]
[2712, 2712, 2994]
[245, 2208, 2144]
[2805, 801, 2805]
[2274, 2274, 1799]
[599, 1549, 1889]
[1522, 2711, 2711]
[1300, 2371, 2932]
[2113, 2113, 2113]
