source,target,weight
686,768,1
686,769,1
686,770,1
686,771,1
686,772,1
686,773,1
686,774,1
686,775,1
686,776,1
686,777,1
686,778,1
686,779,1
686,780,1
686,781,1
686,782,1
686,783,1
686,784,1
686,785,1
686,786,1
686,787,1
686,788,1
686,789,1
686,790,1
686,791,1
686,792,1
686,793,1
686,794,1
686,795,1
686,796,1
686,797,1
686,798,1
686,799,1
686,800,1
686,801,1
686,802,1
686,803,1
686,804,1
686,805,1
686,806,1
686,807,1
686,808,1
686,809,1
686,810,1
686,811,1
686,812,1
686,813,1
686,814,1
686,815,1
686,816,1
686,817,1
686,818,1
686,819,1
686,820,1
686,821,1
686,822,1
686,823,1
686,824,1
686,825,1
686,826,1
686,827,1
686,828,1
686,829,1
686,830,1
686,831,1
686,832,1
686,833,1
686,834,1
686,835,1
686,836,1
686,837,1
686,838,1
686,839,1
686,840,1
686,841,1
686,842,1
686,843,1
686,844,1
686,845,1
686,846,1
686,847,1
686,848,1
686,849,1
686,850,1
686,851,1
686,852,1
686,853,1
686,854,1
686,855,1
686,856,1
686,687,1
686,688,1
686,689,1
686,690,1
686,691,1
686,692,1
686,693,1
686,694,1
686,695,1
686,696,1
686,697,1
686,698,1
686,699,1
686,700,1
686,701,1
686,702,1
686,703,1
686,704,1
686,705,1
686,706,1
686,707,1
686,708,1
686,709,1
686,710,1
686,711,1
686,712,1
686,713,1
686,714,1
686,715,1
686,716,1
686,717,1
686,718,1
686,719,1
686,720,1
686,721,1
686,722,1
686,723,1
686,724,1
686,725,1
686,726,1
686,727,1
686,728,1
686,729,1
686,730,1
686,731,1
686,732,1
686,733,1
686,734,1
686,735,1
686,736,1
686,737,1
686,738,1
686,739,1
686,740,1
686,741,1
686,742,1
686,743,1
686,744,1
686,745,1
686,746,1
686,747,1
686,748,1
686,749,1
686,750,1
686,751,1
686,752,1
686,753,1
686,754,1
686,755,1
686,756,1
686,757,1
686,758,1
686,759,1
686,760,1
686,761,1
686,762,1
686,763,1
686,764,1
686,765,1
686,766,1
686,767,1
687,774,1
687,777,1
687,779,1
687,780,1
687,718,1
687,783,1
687,856,1
687,728,1
687,730,1
687,797,1
687,805,1
687,739,1
687,838,1
687,807,1
687,764,1
687,747,1
687,765,1
687,688,1
687,817,1
687,819,1
687,820,1
687,823,1
687,697,1
687,828,1
687,759,1
687,830,1
687,703,1
688,770,1
688,771,1
688,772,1
688,774,1
688,777,1
688,780,1
688,792,1
688,800,1
688,805,1
688,696,1
688,815,1
688,819,1
688,821,1
688,694,1
688,695,1
688,824,1
688,697,1
688,828,1
688,701,1
688,830,1
688,834,1
688,840,1
688,713,1
688,823,1
688,845,1
688,719,1
688,849,1
688,723,1
688,724,1
688,853,1
688,726,1
688,727,1
688,856,1
688,847,1
688,734,1
688,739,1
688,740,1
688,747,1
688,751,1
688,752,1
688,754,1
688,756,1
688,766,1
689,771,1
689,702,1
689,839,1
689,712,1
689,714,1
689,732,1
689,789,1
690,784,1
690,831,1
690,820,1
690,773,1
690,694,1
690,713,1
690,731,1
690,853,1
691,833,1
691,771,1
691,782,1
691,822,1
691,746,1
693,705,1
693,834,1
693,837,1
693,713,1
693,778,1
693,695,1
693,844,1
693,726,1
693,823,1
693,824,1
693,697,1
693,828,1
693,734,1
694,772,1
694,773,1
694,774,1
694,780,1
694,781,1
694,784,1
694,795,1
694,798,1
694,800,1
694,805,1
694,810,1
694,812,1
694,815,1
694,820,1
694,821,1
694,695,1
694,696,1
694,697,1
694,827,1
694,828,1
694,829,1
694,830,1
694,703,1
694,705,1
694,706,1
694,710,1
694,711,1
694,713,1
694,842,1
694,823,1
694,845,1
694,719,1
694,848,1
694,824,1
694,722,1
694,724,1
694,853,1
694,726,1
694,727,1
694,731,1
694,834,1
694,737,1
694,738,1
694,745,1
694,847,1
694,752,1
694,754,1
694,756,1
694,760,1
694,831,1
694,766,1
695,701,1
695,706,1
695,711,1
695,840,1
695,713,1
695,778,1
695,780,1
695,781,1
695,718,1
695,719,1
695,784,1
695,824,1
695,724,1
695,853,1
695,726,1
695,794,1
695,847,1
695,834,1
695,734,1
695,751,1
695,752,1
695,738,1
695,805,1
695,766,1
695,844,1
695,810,1
695,696,1
695,777,1
695,815,1
695,754,1
695,745,1
695,760,1
695,697,1
695,842,1
695,700,1
695,829,1
695,830,1
696,834,1
696,773,1
696,774,1
696,711,1
696,840,1
696,713,1
696,778,1
696,780,1
696,845,1
696,719,1
696,784,1
696,724,1
696,853,1
696,727,1
696,795,1
696,738,1
696,739,1
696,805,1
696,745,1
696,747,1
696,829,1
696,823,1
696,824,1
696,697,1
696,828,1
696,842,1
696,830,1
697,769,1
697,772,1
697,777,1
697,780,1
697,781,1
697,800,1
697,805,1
697,815,1
697,818,1
697,819,1
697,820,1
697,698,1
697,827,1
697,828,1
697,701,1
697,830,1
697,705,1
697,834,1
697,835,1
697,708,1
697,709,1
697,840,1
697,713,1
697,842,1
697,823,1
697,844,1
697,719,1
697,848,1
697,849,1
697,724,1
697,726,1
697,727,1
697,856,1
697,748,1
697,731,1
697,721,1
697,745,1
697,747,1
697,824,1
697,753,1
697,754,1
697,760,1
697,890,1
697,765,1
697,766,1
698,769,1
698,747,1
698,772,1
698,774,1
698,776,1
698,713,1
698,889,1
698,719,1
698,708,1
698,878,1
698,856,1
698,729,1
698,861,1
698,798,1
698,863,1
698,800,1
698,864,1
698,803,1
698,804,1
698,805,1
698,753,1
698,745,1
698,810,1
698,811,1
