source,target,weight
0,107,1
58,107,1
107,171,1
107,348,1
107,353,1
107,363,1
107,366,1
107,376,1
107,389,1
107,414,1
107,420,1
107,428,1
107,475,1
107,483,1
107,484,1
107,517,1
107,526,1
107,538,1
107,566,1
107,580,1
107,596,1
107,601,1
107,606,1
107,629,1
107,637,1
107,641,1
107,649,1
107,651,1
107,896,1
107,897,1
107,898,1
107,899,1
107,901,1
107,902,1
107,903,1
107,904,1
107,905,1
107,906,1
107,907,1
107,909,1
107,910,1
107,911,1
107,912,1
107,913,1
107,914,1
107,915,1
107,916,1
107,917,1
107,918,1
107,919,1
107,920,1
107,921,1
107,922,1
107,923,1
107,924,1
107,925,1
107,926,1
107,927,1
107,929,1
107,930,1
107,931,1
107,932,1
107,933,1
107,934,1
107,935,1
107,936,1
107,937,1
107,938,1
107,939,1
107,940,1
107,941,1
107,942,1
107,943,1
107,944,1
107,945,1
107,946,1
107,947,1
107,948,1
107,949,1
107,950,1
107,952,1
107,953,1
107,954,1
107,955,1
107,956,1
107,957,1
107,958,1
107,959,1
107,960,1
107,961,1
107,962,1
107,963,1
107,964,1
107,965,1
107,966,1
107,967,1
107,968,1
107,969,1
107,971,1
107,972,1
107,973,1
107,974,1
107,975,1
107,976,1
107,977,1
107,979,1
107,980,1
107,981,1
107,983,1
107,984,1
107,985,1
107,986,1
107,987,1
107,988,1
107,989,1
107,990,1
107,991,1
107,992,1
107,993,1
107,994,1
107,995,1
107,996,1
107,997,1
107,999,1
107,1000,1
107,1001,1
107,1002,1
107,1003,1
107,1004,1
107,1005,1
107,1006,1
107,1007,1
107,1009,1
107,1010,1
107,1011,1
107,1012,1
107,1013,1
107,1014,1
107,1015,1
107,1016,1
107,1017,1
107,1018,1
107,1019,1
107,1020,1
107,1021,1
107,1022,1
107,1024,1
107,1025,1
107,1026,1
107,1027,1
107,1028,1
107,1030,1
107,1031,1
107,1032,1
107,1034,1
107,1035,1
107,1036,1
107,1037,1
107,1038,1
107,1039,1
107,1040,1
107,1041,1
107,1042,1
107,1043,1
107,1044,1
107,1046,1
107,1047,1
107,1048,1
107,1049,1
107,1050,1
107,1051,1
107,1052,1
107,1053,1
107,1054,1
107,1055,1
107,1056,1
107,1057,1
107,1058,1
107,1059,1
107,1060,1
107,1062,1
107,1063,1
107,1064,1
107,1065,1
107,1066,1
107,1067,1
107,1068,1
107,1069,1
107,1070,1
107,1071,1
107,1072,1
107,1073,1
107,1074,1
107,1075,1
107,1076,1
107,1078,1
107,1079,1
107,1080,1
107,1081,1
107,1082,1
107,1083,1
107,1084,1
107,1086,1
107,1087,1
107,1088,1
107,1089,1
107,1090,1
107,1091,1
107,1092,1
107,1093,1
107,1094,1
107,1095,1
107,1096,1
107,1097,1
107,1098,1
107,1099,1
107,1100,1
107,1101,1
107,1102,1
107,1103,1
107,1104,1
107,1105,1
107,1106,1
107,1107,1
107,1108,1
107,1109,1
107,1110,1
107,1111,1
107,1112,1
107,1113,1
107,1114,1
107,1115,1
107,1116,1
107,1117,1
107,1118,1
107,1119,1
107,1120,1
107,1121,1
107,1122,1
107,1123,1
107,1124,1
107,1125,1
107,1126,1
107,1127,1
107,1128,1
107,1129,1
107,1130,1
107,1131,1
107,1132,1
107,1133,1
107,1134,1
107,1135,1
107,1136,1
107,1137,1
107,1138,1
107,1139,1
107,1140,1
107,1141,1
107,1142,1
107,1143,1
107,1145,1
107,1146,1
107,1147,1
107,1148,1
107,1149,1
107,1151,1
107,1152,1
107,1153,1
107,1154,1
107,1155,1
107,1156,1
107,1157,1
107,1158,1
107,1159,1
107,1160,1
107,1162,1
107,1163,1
107,1164,1
107,1165,1
107,1166,1
107,1167,1
107,1168,1
107,1169,1
107,1170,1
107,1171,1
107,1172,1
107,1173,1
